analysis_layer,pair_id,field_id,primary_state,rater_a_state,rater_b_state,final_state,evidence_url,checked_date,selection_stratum,stratum_frame_n,stratum_sample_n
primary_83,VUONG2025_S7_001,target_definition,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,effect_modifier,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,harmonization,partial,,,partial,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,overlap,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,target_uncertainty,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,threshold_provenance,partial,,,partial,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,threshold_timing,not_documented,,,not_documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,source_access,controlled,,,controlled,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,target_access,public,,,public,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_001,reuse_terms,not_documented,,,not_documented,https://github.com/benjamin-ackerman/generalizability_svys,2026-07-30,,,
primary_83,VUONG2025_S7_001,code_record,documented,,,documented,https://github.com/benjamin-ackerman/generalizability_svys,2026-07-30,,,
primary_83,VUONG2025_S7_001,fixed_version,verified,,,verified,https://github.com/benjamin-ackerman/generalizability_svys,2026-07-30,,,
primary_83,VUONG2025_S7_001,execution_path,not_self_contained,,,not_self_contained,https://github.com/benjamin-ackerman/generalizability_svys,2026-07-30,,,
primary_83,VUONG2025_S7_002,target_definition,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_002,effect_modifier,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_002,harmonization,partial,,,partial,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_002,overlap,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_002,target_uncertainty,documented,,,documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_002,threshold_provenance,partial,,,partial,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
primary_83,VUONG2025_S7_002,threshold_timing,not_documented,,,not_documented,https://pmc.ncbi.nlm.nih.gov/articles/PMC8034867/,2026-07-30,,,
